model,feature_set,n_features,mae_mean,mae_std,seconds,fold_1_mae,fold_2_mae,fold_3_mae,fold_4_mae,fold_5_mae,improvement_vs_dummy
elasticnet,all_domain_raw,72,2.72779208964668,0.08907978962386064,2.6567783169448376,2.747170298063864,2.709313661320068,2.801956767507949,2.566483163638954,2.814036557702567,7.9187536934537075
ridge,all_domain_raw,72,2.72929986349373,0.10187332410672476,0.38305703923106194,2.730181156571772,2.7248735283616754,2.811181023482594,2.545049580158698,2.8352140288939105,7.917245919606658
hgb,all_domain_raw,72,3.07020159494786,0.06573773666867212,3.778198439627886,3.097878393878693,2.9543154449225537,3.156074332317017,3.0671992759743896,3.075540527646649,7.576344188152528
