model,feature_set,variant,n_clusters,baseline_mae,cluster_mae,delta_mae,cluster_mae_std,folds_improved,best_variant,best_k,best_mae,best_mae_std,total_n_features
elasticnet,all_domain_raw,cluster_k8,8.0,2.72779208964668,2.7343710829157697,0.006578993269089839,0.09239676691324727,2,baseline,8.0,2.72779208964668,0.08907978962386064,72
hgb,all_domain_raw,cluster_k4,4.0,3.07020159494786,3.064433719721467,-0.005767875226392771,0.05964671171219127,4,cluster_k4,4.0,3.064433719721467,0.05964671171219127,76
ridge,all_domain_raw,cluster_k8,8.0,2.72929986349373,2.737869286636136,0.008569423142406052,0.08500959889375638,1,baseline,8.0,2.72929986349373,0.10187332410672476,72
