,elasticnet,ridge,hgb,lightgbm
elasticnet,1.0,0.9944832833854962,0.8726598203235302,0.8663482718748935
ridge,0.9944832833854962,1.0,0.854406432283593,0.8459323048043406
hgb,0.8726598203235302,0.854406432283593,1.0,0.9356246392588766
lightgbm,0.8663482718748935,0.8459323048043406,0.9356246392588766,1.0
