model,feature_set,n_features,oof_mae,fold_mae_mean,fold_mae_std
elasticnet,all_domain_raw,72,2.727524845489334,2.72779208964668,0.08907978962386064
ridge,all_domain_raw,72,2.72895692685741,2.72929986349373,0.10187332410672476
hgb,all_domain_raw,72,3.070303556152821,3.07020159494786,0.06573773666867212
lightgbm,core_pitch,18,3.1160046656335916,3.115859697062548,0.05174259116091781
