configuration,float_chrono_mae,rounded_chrono_mae
elasticnet,2.3792544805146147,2.374301675977654
ridge,2.3621617744081815,2.363128491620112
hgb,2.9569769195476345,2.9348230912476723
lightgbm,2.890387453142338,2.8845437616387337
